user_id,session_id,days_in_base,session_qty_acc,add_to_cart_qty_acc,page_pdp_qty_acc,page_plp_qty_acc,page_search_plp_qty_acc,bounce_sessions_qty_acc,navigation_time_acc,is_next_session_activation
17517382623844108091u,5532936573751418806s,2.009282407350838,2,2,7,0,0,1,646.0,1
17519201177384475107u,17214040624846686006s,0.0,1,0,1,0,0,1,0.0,1
17525518748989802570u,17299218346594806065s,0.019780092872679234,1,0,6,1,0,0,1709.0,0
17525518748989802570u,16297284495345035162s,0.2069097221828997,2,1,10,1,9,0,2517.0,1
17529128504562511852u,5743755856724848916s,0.0,1,0,0,1,0,1,0.0,0
17529128504562511852u,13871236016921637038s,10.462662036996335,2,5,4,2,0,1,1038.0,1
17531443460272200531u,5307389455316139223s,0.0,1,0,0,1,0,1,0.0,1
17549110529704932906u,12512840233644949114s,0.0036921296268701553,1,2,2,0,3,0,319.0,1
17556370023840054321u,6972541856836354891s,0.0,1,0,1,0,0,1,0.0,0
17556370023840054321u,15757708284438226791s,3.8321874998509884,2,1,4,0,4,1,644.0,1
17556832623432318074u,11510409217025225159s,0.002928240690380335,1,1,2,0,0,0,253.0,0
17556832623432318074u,6080541855919105923s,0.052743055392056704,2,1,3,1,2,0,329.0,1
17568755810464137499u,11524408325597767395s,0.0,1,0,1,0,0,1,0.0,1
17622950613801033285u,14319900142827625717s,0.00015046307817101479,1,0,0,2,0,0,13.0,1
17626984621401176802u,11896861396077496466s,0.0,1,0,0,1,0,1,0.0,1
17631996801336901u,7234519350386370038s,0.0,1,0,0,1,0,1,0.0,1
17635011103300445795u,15353187370396229872s,0.0,1,0,0,1,0,1,0.0,1
17651283916354825447u,5002720748689667186s,0.012604166753590107,1,0,1,1,0,0,1089.0,1
17656950696626663902u,49796753123206411s,0.0015624999068677425,1,0,0,3,0,0,135.0,1
17658969792785802852u,4725411620306649378s,0.013449074234813452,1,1,6,1,0,0,1162.0,1
17663423457548045034u,12835177101925799802s,0.0,1,0,0,1,0,1,0.0,0
17663423457548045034u,3098762509004655143s,0.3532175924628973,2,0,0,3,0,1,233.0,0
17663423457548045034u,5944560368800069410s,1.0807870370335877,3,0,0,32,0,1,1284.0,0
17663423457548045034u,6312202334027277177s,1.429537036921829,4,0,0,33,0,2,1284.0,0
17663423457548045034u,2094986141985321339s,2.0316203702241182,5,0,0,34,0,3,1284.0,0
17663423457548045034u,1338384345200312669s,2.09634259250015,6,0,0,35,0,4,1284.0,0
17663423457548045034u,14344553402265567356s,2.1488425927236676,7,0,0,36,0,5,1284.0,0
17663423457548045034u,17410901748559248542s,4.427939814981073,8,0,1,37,0,5,1309.0,0
17663423457548045034u,8343840641076643712s,5.488206018693745,9,0,2,37,0,6,1309.0,0
17663423457548045034u,12092673039335056567s,5.639236111193895,10,0,2,39,0,6,1337.0,0
17663423457548045034u,1777720608546662658s,5.845300925895572,11,0,2,48,0,6,1784.0,0
17663423457548045034u,9089428123896646962s,6.714328703470528,12,0,2,49,0,7,1784.0,0
17663423457548045034u,17774765524983239761s,7.135856481269002,13,0,2,50,0,8,1784.0,0
17663423457548045034u,6185514576886356736s,8.020115740597248,14,0,2,51,0,9,1784.0,1
17677865363909311917u,12015287990916627603s,0.0,1,0,1,0,0,1,0.0,0
17677865363909311917u,17772946497968907103s,0.03349537029862404,2,0,2,0,0,2,0.0,0
17677865363909311917u,4941732407344131194s,0.3127546296454966,3,1,5,4,5,2,1032.0,1
17685709750639831263u,14760973998501375321s,0.00016203662380576134,1,1,1,0,0,0,14.0,1
17691438070205031187u,14114942862041306377s,0.0,1,0,0,1,0,1,0.0,0
17691438070205031187u,8882281604796165926s,0.2330787037499249,2,1,3,3,0,1,687.0,1
17706623221944360706u,3960720317767869573s,0.0,1,0,1,0,0,1,0.0,0
17706623221944360706u,14442389678518229267s,0.25930555583909154,2,0,2,0,0,2,0.0,0
17706623221944360706u,8028472044545869502s,0.8562615741975605,3,0,3,0,0,3,0.0,0
17706623221944360706u,16110396691585069649s,0.9985416666604578,4,0,4,0,0,4,0.0,0
17706623221944360706u,1347109954735111808s,1.2617245372384787,5,0,5,0,0,5,0.0,0
17706623221944360706u,9975410376237182811s,1.309305555652827,6,0,6,0,0,6,0.0,0
17706623221944360706u,7689058974101490457s,1.8644097223877907,7,0,7,0,0,7,0.0,1
